childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,codsec1,act1,months1,diasmes1,seman1,days1,hours1,codsec2,act2,months2,diasmes2,seman2,days2,hours2,act3,codsec3,months3,diasmes3,seman3,days3,hours3,acting,sleep,chcare,hhchore,npaywork,paywork,school,study,play,occuppat,incamnt,inctime,bonus,bonamnt,bontime,remun,remamnt,remtime,occyrs,occmths
PE011001,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,3,1,3,,,,,,,,,,,
PE011001,1,35,male,Biological parent,"Yes, still lives in household",5,No,,,,,,,,,No disability,452,Waged worker,12,24,4,6,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,400,Month,No,-88,N/A,No,-88,N/A,10,0
PE011001,2,26,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011001,3,10,male,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,3,Public or the national government,Poorly,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,5,2,3,,,,,,,,,,,
PE011001,4,11,male,Brother/sister,"Yes, still lives in household",,,6,"Yes, attending regularly",N/A,88,3,Public or the national government,Excellent,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,5,2,3,,,,,,,,,,,
PE011001,5,0,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,Missing,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011002,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Excellent,Excellent,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,4,1,8,,,,,,,,,,,
PE011002,1,57,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,525,Independent merchant,12,30,4,7,13,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,50,Day,N/A,-88,N/A,N/A,-88,N/A,25,0
PE011002,2,43,female,Biological parent,"Yes, still lives in household",Incomplete Technical college,No,,,,,,,,,No disability,525,Independent merchant,12,24,4,6,6,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,25,Day,N/A,-88,N/A,N/A,-88,N/A,2,0
PE011002,15,8,female,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,3,Public or the national government,Excellent,Excellent,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,3,1,0,0,5,1,3,,,,,,,,,,,
PE011003,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,2,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,1,0,0,5,2,2,,,,,,,,,,,
PE011003,1,29,male,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,921,Waged worker,12,28,4,7,4,602,Self-employed (services),12,16,4,4,3,Waged worker,924,2,4,1,4,2,Third activity,,,,,,,,,Independent,1000,Month,N/A,-88,N/A,N/A,-88,N/A,0,2
PE011003,2,27,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,525,Independent merchant,12,16,4,4,2,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,75,Month,No,-88,N/A,Yes,110,Quarter,1,0
