childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,act1,months1,days1,hours1,act2,months2,days2,hours2,act3,months3,days3,hours3,sleep,chcare,hhchore,npaywork,paywork,school,study,play
VN010001,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010001,3,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,8,2,3
VN010001,2,34,female,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,self-employed (food crops),2,8,5,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010001,1,36,male,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,self-employed (food crops),6,8,10,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,8,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010002,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,4,1,10
VN010002,7,19,female,uncle/aunt,"yes, still lives in household","post-secondary, vocational","yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,10,10,1,household dependent,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,6,24,male,uncle/aunt,"yes, still lives in household",university,"yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,10,15,3,household dependent,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,5,27,male,uncle/aunt,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,10,28,8,self-employed (food crops),2,3,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,4,29,female,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,10,25,5,self-employed (food crops),5,2,5,household chores,12,30,3,88,88,88,88,88,88,88,88
VN010002,3,39,male,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,28,8,self-employed (food crops),3,2,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,2,58,female,maternal grandparent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,household chores,5,2,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010002,1,61,male,maternal grandparent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010003,4,2,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010003,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,1,7
VN010003,3,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,other unpaid activity,3,10,3,household dependent,88,88,88,n/a,88,88,88,10,3,0,0,0,4,2,5
VN010003,1,33,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),5,20,9,self-employed (food crops),5,5,8,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010003,2,34,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,5,9,household chores,12,30,5,wage employment (agriculture),2,9,6,88,88,88,88,88,88,88,88
VN010004,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,1,8
VN010004,4,16,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,9,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,other unpaid activity,3,15,5,household dependent,88,88,88,n/a,88,88,88,10,2,2,1,0,4,2,3
VN010004,3,18,male,brother/sister (both parents the same),"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,10,8,wage employment (agriculture),2,18,8,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010004,1,39,male,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,5,8,wage employment (non-agriculture),2,20,8,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010004,2,40,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,18,8,wage employment (agriculture),2,18,8,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010005,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,2,7
VN010005,5,13,male,brother/sister (both parents the same),"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN010005,4,16,female,brother/sister (both parents the same),"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN010005,3,18,male,brother/sister (both parents the same),"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN010005,2,38,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,25,8,wage employment (non-agriculture),4,20,8,household chores,12,30,3,88,88,88,88,88,88,88,88
VN010005,1,47,male,biological parent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN010006,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN010006,5,11,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,no,have to do paid work to earn money,7,6,n/a,n/a,n/a,no disability,wage employment (non-agriculture),10,24,8,household chores,5,10,1,household dependent,88,88,88,8,0,0,10,0,0,0,6
VN010006,4,16,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,no,needed for domestic or agricultural work at home,9,6,nk,nk,nk,no disability,wage employment (non-agriculture),10,25,9,household chores,8,15,2,household dependent,88,88,88,8,0,0,10,0,0,0,6
VN010006,3,18,female,brother/sister (both parents the same),"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),12,24,8,self-employed (food crops),3,10,3,household chores,4,6,2,88,88,88,88,88,88,88,88
VN010006,2,40,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),6,18,8,household chores,12,30,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010006,1,43,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,20,8,self-employed (food crops),4,8,3,household chores,2,3,1,88,88,88,88,88,88,88,88
VN010007,16,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010007,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,1,8
VN010007,15,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,excellent,good,no disability,household chores,7,10,1,household dependent,88,88,88,n/a,88,88,88,9,2,0,0,0,4,3,6
VN010007,1,31,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,20,8,self-employed (food crops),4,8,4,household chores,6,15,2,88,88,88,88,88,88,88,88
VN010007,2,32,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,25,7,self-employed (food crops),4,4,2,household chores,12,30,1,88,88,88,88,88,88,88,88
VN010008,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,6,2,5
VN010008,3,13,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,4,10,2,household dependent,88,88,88,n/a,88,88,88,10,2,2,0,0,4,3,3
VN010008,2,38,female,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,24,8,annual farm servant,1,30,8,household chores,12,30,3,88,88,88,88,88,88,88,88
VN010008,1,40,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,20,8,annual farm servant,2,30,8,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010008,5,71,female,paternal grandparent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010008,4,75,male,paternal grandparent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
