hhid,roster_id,age,sex,mother_id,education_complete,current_grade
1,1,60,Mujer,,beyond secondary,
1,6,40,Mujer,1,beyond secondary,
1,7,67,Hombre,,beyond secondary,
1,8,22,Hombre,6,beyond secondary,
2,1,53,Mujer,,beyond secondary,
2,2,25,Hombre,1,beyond secondary,
2,3,22,Mujer,1,beyond secondary,13
2,4,30,Mujer,1,beyond secondary,
2,5,6,Hombre,4,beyond secondary,2
2,6,31,Hombre,,beyond secondary,
2,7,3,Mujer,4,beyond secondary,
3,2,40,Mujer,,beyond secondary,
3,4,12,Mujer,2,beyond secondary,7
3,5,28,Hombre,,beyond secondary,
4,1,29,Mujer,,beyond secondary,
4,2,13,Hombre,1,beyond secondary,8
4,3,7,Mujer,1,beyond secondary,3
4,4,32,Hombre,,beyond secondary,
5,1,37,Hombre,,beyond secondary,
5,2,38,Mujer,,beyond secondary,
5,3,7,Hombre,2,beyond secondary,2
5,4,4,Mujer,2,beyond secondary,
6,1,51,Hombre,,beyond secondary,
6,3,22,Hombre,,beyond secondary,12
6,5,48,Mujer,,beyond secondary,
7,1,59,Hombre,,beyond secondary,
7,2,59,Mujer,,beyond secondary,
7,4,28,Mujer,2,beyond secondary,15
7,5,5,Hombre,4,beyond secondary,
7,6,28,Hombre,,beyond secondary,
8,1,38,Mujer,,beyond secondary,9
8,2,41,Hombre,,beyond secondary,
8,3,21,Hombre,1,beyond secondary,
8,4,19,Hombre,1,beyond secondary,
8,5,16,Mujer,1,beyond secondary,8
8,6,4,Hombre,1,beyond secondary,
9,1,35,Mujer,4,beyond secondary,
9,2,16,Hombre,1,beyond secondary,10
9,3,7,Hombre,1,beyond secondary,2
9,4,66,Mujer,,beyond secondary,
9,5,46,Hombre,,beyond secondary,
10,1,23,Mujer,,beyond secondary,
10,2,7,Hombre,1,beyond secondary,2
10,3,26,Hombre,,beyond secondary,
10,4,0,Hombre,1,beyond secondary,
11,1,37,Hombre,,beyond secondary,
11,2,32,Mujer,,beyond secondary,
11,3,16,Hombre,2,beyond secondary,9
11,4,13,Hombre,2,beyond secondary,7
12,1,56,Hombre,,beyond secondary,
12,2,50,Mujer,,beyond secondary,
12,3,28,Hombre,2,beyond secondary,
12,4,27,Hombre,2,beyond secondary,15
13,1,31,Hombre,,beyond secondary,
13,2,27,Mujer,,beyond secondary,
13,3,5,Hombre,2,beyond secondary,
13,4,0,Mujer,2,beyond secondary,
14,1,56,Mujer,4,beyond secondary,
14,2,62,Hombre,4,beyond secondary,
14,3,63,Hombre,4,beyond secondary,
14,4,87,Mujer,,beyond secondary,
15,1,58,Hombre,,beyond secondary,
15,2,46,Mujer,,beyond secondary,
15,3,10,Mujer,2,beyond secondary,5
16,1,64,Hombre,,beyond secondary,
16,2,65,Mujer,,beyond secondary,
16,3,13,Hombre,,beyond secondary,8
17,1,49,Hombre,,beyond secondary,
18,2,48,Mujer,,beyond secondary,
18,3,24,Hombre,2,beyond secondary,
18,4,23,Mujer,2,beyond secondary,12
18,5,18,Hombre,2,beyond secondary,9
18,6,11,Mujer,2,beyond secondary,6
17,7,43,Mujer,,beyond secondary,
19,1,54,Hombre,,beyond secondary,
19,2,41,Mujer,,beyond secondary,
19,3,23,Mujer,2,beyond secondary,12
19,4,22,Hombre,2,beyond secondary,12
19,5,20,Mujer,2,beyond secondary,12
19,7,0,Hombre,5,beyond secondary,
20,1,46,Hombre,,beyond secondary,
20,2,43,Mujer,,beyond secondary,
20,3,17,Mujer,2,beyond secondary,11
20,4,14,Hombre,2,beyond secondary,7
20,5,10,Mujer,2,beyond secondary,5
21,1,71,Hombre,,beyond secondary,
21,2,41,Mujer,,beyond secondary,1
21,4,11,Mujer,2,beyond secondary,6
22,1,57,Hombre,,beyond secondary,
22,2,55,Mujer,,beyond secondary,
22,5,23,Hombre,2,beyond secondary,
22,6,14,Hombre,2,beyond secondary,9
22,7,32,Mujer,2,beyond secondary,
22,8,4,Mujer,7,beyond secondary,
23,1,69,Mujer,,beyond secondary,
23,4,15,Hombre,,beyond secondary,8
23,5,25,Mujer,1,beyond secondary,12
23,6,3,Hombre,5,beyond secondary,
23,7,27,Hombre,,beyond secondary,
23,8,40,Hombre,1,beyond secondary,
24,2,6,Hombre,,beyond secondary,1
24,4,54,Mujer,,beyond secondary,
24,5,23,Hombre,4,beyond secondary,1
24,6,21,Hombre,4,beyond secondary,
24,7,23,Mujer,,beyond secondary,
24,8,4,Mujer,7,beyond secondary,
25,1,65,Hombre,,beyond secondary,
25,2,56,Mujer,,beyond secondary,
25,3,18,Mujer,2,beyond secondary,8
25,4,29,Hombre,,beyond secondary,
26,2,54,Mujer,,beyond secondary,
26,4,27,Mujer,2,beyond secondary,
27,5,9,Mujer,7,beyond secondary,4
26,6,4,Hombre,4,beyond secondary,
27,6,32,Hombre,,beyond secondary,
26,7,41,Hombre,,beyond secondary,
27,7,31,Mujer,,beyond secondary,
27,8,6,Hombre,7,beyond secondary,1
27,9,6,Hombre,7,beyond secondary,1
27,10,4,Hombre,7,beyond secondary,
28,1,52,Mujer,,beyond secondary,
29,2,54,Hombre,,beyond secondary,
28,6,14,Hombre,,beyond secondary,9
29,8,51,Mujer,,beyond secondary,
28,9,17,Mujer,,beyond secondary,10
29,10,22,Hombre,8,beyond secondary,13
28,10,28,Hombre,,beyond secondary,
29,11,16,Mujer,8,beyond secondary,11
30,1,52,Hombre,,beyond secondary,
30,2,46,Mujer,,beyond secondary,
30,4,24,Hombre,2,beyond secondary,
30,5,23,Hombre,2,beyond secondary,
31,1,51,Hombre,,beyond secondary,
31,2,52,Mujer,,beyond secondary,
31,3,29,Hombre,2,beyond secondary,
31,4,24,Mujer,2,beyond secondary,
31,5,26,Mujer,,beyond secondary,
31,6,2,Mujer,4,beyond secondary,
31,7,0,Mujer,4,beyond secondary,
32,1,61,Hombre,,beyond secondary,
32,2,51,Mujer,,beyond secondary,
32,3,27,Hombre,2,beyond secondary,
32,4,26,Hombre,2,beyond secondary,
32,8,20,Mujer,,beyond secondary,
33,1,57,Hombre,,beyond secondary,
33,2,41,Mujer,,beyond secondary,
33,4,21,Hombre,2,beyond secondary,
33,6,17,Hombre,2,beyond secondary,
33,7,16,Hombre,2,beyond secondary,
33,8,13,Hombre,2,beyond secondary,7
33,9,11,Mujer,2,beyond secondary,2
34,1,38,Hombre,6,beyond secondary,
35,2,34,Mujer,,beyond secondary,
35,3,17,Hombre,2,beyond secondary,11
35,4,13,Mujer,2,beyond secondary,6
35,5,11,Mujer,2,beyond secondary,6
35,6,37,Hombre,,beyond secondary,
34,6,67,Mujer,,beyond secondary,
34,7,44,Hombre,6,beyond secondary,
35,7,19,Mujer,,beyond secondary,
35,9,0,Mujer,7,beyond secondary,
36,1,35,Hombre,,beyond secondary,
36,2,31,Mujer,,beyond secondary,15
36,3,8,Mujer,2,beyond secondary,3
