hh_id,indiv_id,sex_2004,sex_2007,sex_2011
PE011001,0,Female,Female,Female
PE011001,1,Male,Male,Male
PE011001,2,Female,Female,Female
PE011001,3,Male,Male,Male
PE011001,4,Male,Male,Male
PE011001,5,Female,Female,Female
PE011001,6,-99,-99,Female
PE011001,7,-99,-99,Male
PE011002,0,Female,Female,Female
PE011002,1,Male,Male,Male
PE011002,2,Female,Female,Female
PE011002,3,-99,-99,-99
PE011002,15,Female,Female,Female
PE011003,0,Male,Male,Male
PE011003,1,Male,Male,Male
PE011003,2,Female,Female,Female
PE011003,3,Female,Female,Female
PE011003,4,-99,-99,Male
PE011004,0,Male,Male,Male
PE011004,1,Male,Male,Male
PE011004,2,Female,Female,Female
PE011004,3,Female,Female,Female
PE011005,0,Male,Male,Male
PE011005,1,Male,Male,Male
PE011005,2,Female,-99,Female
PE011005,3,Female,Female,Female
PE011005,4,Male,-99,Male
PE011005,5,Female,Female,Female
PE011005,6,Male,Male,Male
PE011005,7,Female,-99,Female
PE011005,8,Male,Male,Male
PE011005,9,-99,-99,Female
PE011006,0,Female,Female,Female
PE011006,1,Male,Male,Male
PE011006,2,Female,Female,Female
PE011006,3,Female,-99,Female
PE011006,4,Male,-99,Male
PE011006,5,Female,Female,Female
PE011006,6,-99,-99,Female
PE011007,0,Female,Female,Female
PE011007,1,Male,Male,Male
PE011007,2,Female,Female,Female
PE011007,3,Male,Male,Male
PE011007,4,Female,-99,-99
PE011007,5,Female,-99,-99
PE011007,15,Male,Male,Male
PE011008,0,Male,Male,Male
PE011008,1,Male,Male,Male
PE011008,2,Female,Female,Female
PE011008,15,Female,Female,Female
PE011008,16,Female,Female,Female
PE011009,0,Male,Male,Male
PE011009,1,Male,Male,Male
PE011009,2,Female,Female,Female
PE011009,3,Female,Female,Female
PE011009,4,Female,-99,Female
PE011009,5,Male,-99,Male
PE011009,6,-99,Male,Male
PE011010,0,Male,Male,Male
PE011010,1,Male,-99,Male
PE011010,2,Female,-99,Female
PE011010,3,Female,-99,Female
PE011010,4,Nale,-99,Male
PE011010,5,Male,-99,Male
PE011010,6,Female,-99,Female
PE011010,15,Female,-99,Female
PE011010,16,Female,Female,Female
PE011010,17,-99,Male,Male
PE011010,18,-99,Female,Female
PE011010,19,-99,Female,Female
PE011010,20,-99,Female,Female
PE011010,21,-99,Female,Female
PE011011,0,Female,Femalw,Female
PE011011,1,Male,Male,Male
PE011011,2,Female,Female,Female
PE011011,15,Male,Male,Male
PE011011,16,Male,Male,Male
PE011011,17,-99,-99,Female
PE011012,0,Female,Female,Female
PE011012,1,Male,Male,Male
PE011012,2,Female,Female,Female
PE011012,15,Male,Male,Male
PE011012,16,Female,-99,Female
PE011012,17,Female,-99,Female
PE011012,18,-99,Male,Male
PE011013,0,Female,Female,Female
PE011013,1,Male,Male,Male
PE011013,2,Female,Female,Female
PE011013,3,Male,-99,Male
PE011013,4,Female,-99,Female
PE011013,5,Male,-99,Male
PE011013,6,Female,-99,Female
PE011013,7,Female,Female,Female
PE011013,8,Female,Female,Female
PE011013,9,-99,Male,Male
PE011013,10,-99,-99,Male
PE011014,0,Male,Male,Male
PE011014,1,Female,Female,Female
PE011014,2,Male,Unknown,Male
PE011014,3,Female,Unknown,Female
PE011014,4,Female,Unknown,Female
PE011014,5,Male,Unknown,Male
PE011014,6,Male,Unknown,Male
PE011014,15,Female,Female,Female
PE011014,16,Male,Male,Male
PE011014,17,-99,Male,Male
PE011014,18,-99,Male,Male
PE011015,0,Male,Male,Male
PE011015,1,Male,-99,Male
PE011015,2,Female,Female,Female
PE011015,3,Male,-99,Male
PE011015,4,Female,-99,Female
PE011015,5,Male,-99,Male
PE011015,6,Male,-99,Male
PE011015,7,Female,-99,Female
PE011015,8,Male,-99,Male
PE011015,9,Female,-99,Female
PE011015,10,Male,-99,Male
PE011015,11,Female,-99,Female
PE011015,12,Female,-99,Female
PE011015,13,Female,-99,Female
PE011015,14,Female,-99,Female
PE011015,15,Female,-99,Female
PE011015,16,Male,-99,Male
PE011015,17,Female,-99,Female
PE011015,18,Male,-99,Male
PE011015,19,Male,-99,Male
PE011015,20,Male,Male,Male
PE011015,21,-99,Male,Male
PE011016,0,Male,Male,Male
PE011016,1,Male,Male,Male
PE011016,2,Female,Female,Female
PE011016,3,Male,-99,Male
PE011016,4,Male,-99,Male
PE011016,5,Female,-99,Female
PE011016,6,Male,-99,Male
PE011016,7,Male,-99,Male
PE011016,8,Male,-99,Male
PE011016,9,Male,-99,Male
PE011016,10,Female,-99,Female
PE011016,11,Male,Male,Male
PE011016,12,-99,-99,Male
PE011017,0,Male,Male,Male
PE011017,1,Male,Male,Male
PE011017,2,Female,Female,Female
PE011017,15,Male,Male,Male
PE011017,16,Male,-99,Male
PE011017,17,-99,-99,Male
PE011018,0,Female,Female,Female
PE011018,1,Male,Male,Male
PE011018,2,Female,Female,Female
PE011018,3,Female,Female,Female
PE011018,4,Female,Female,Female
PE011018,5,Male,Male,Male
PE011018,6,Male,Male,Male
PE011018,7,Male,Male,Male
PE011018,8,-99,-99,Male
PE011019,0,Male,Male,Male
PE011019,1,Male,Male,Male
PE011019,2,Female,Female,Female
PE011019,3,Male,Male,Male
PE011019,4,Male,-99,Male
PE011019,5,-99,Female,Female
PE011019,6,-99,-99,Female
PE011020,0,Male,Male,Male
PE011020,1,Male,Male,Male
PE011020,2,Female,Female,Female
PE011021,0,Female,Female,Female
PE011021,1,Male,Male,Male
PE011021,2,Female,Female,Female
PE011021,3,Female,Female,Female
PE011021,4,Female,Female,Female
PE011021,5,-99,Female,Female
PE011022,0,Male,Male,Male
PE011022,1,Male,Male,Male
PE011022,2,Female,Female,Female
PE011022,3,Male,Male,Male
PE011022,4,Male,Male,Male
PE011022,5,-99,Male,Male
PE011023,0,Male,Male,Male
PE011023,1,Male,Male,Male
PE011023,2,Female,Female,Female
PE011023,3,Female,Female,Female
PE011024,0,Female,Female,Female
PE011024,1,Male,Male,Male
PE011024,2,Female,Female,Female
PE011024,3,Female,-99,Female
PE011024,4,Male,-99,Male
PE011024,15,Female,-99,Female
PE011024,16,Male,-99,Male
PE011024,17,Female,-99,Female
PE011024,18,Male,-99,Male
PE011024,19,Male,-99,Male
PE011024,20,Female,-99,Female
PE011024,21,-99,Male,Male
PE011024,22,Unknown ,Unknown,Unknown
PE011025,0,Male,Male,Male
PE011025,1,Male,Male,Male
PE011025,2,Female,Female,Female
PE011025,3,Male,-99,Male
PE011025,4,Female,-99,Female
PE011025,5,Female,-99,Female
