hh_id,person_id,age,memsex,relate,livhse
ET010001,0,5,1,0,1
ET010001,1,47,1,6,2
ET010001,2,45,2,5,2
ET010001,3,29,2,14,1
ET010001,4,28,2,14,2
ET010001,5,26,2,14,2
ET010001,6,23,2,20,2
ET010001,7,38,1,20,2
ET010001,8,23,2,1,2
ET010001,9,17,2,14,1
ET010001,10,5,1,14,1
ET010002,0,4,1,0,1
ET010002,1,36,1,1,1
ET010002,2,24,2,1,1
ET010002,3,1,2,7,1
ET010004,0,5,1,0,1
ET010004,1,79,2,5,1
ET010004,2,44,1,1,1
ET010004,3,39,2,1,1
ET010004,4,22,2,7,2
ET010004,5,19,1,7,1
ET010004,6,17,1,7,1
ET010004,7,14,1,7,1
ET010005,0,5,2,0,1
ET010005,1,34,1,1,1
ET010005,2,32,2,1,1
ET010005,3,14,1,7,2
ET010005,4,12,1,7,1
ET010005,5,12,2,7,1
ET010006,0,4,2,0,1
ET010006,1,34,1,1,1
ET010006,2,30,2,1,1
ET010006,3,26,2,13,1
ET010006,4,24,1,14,1
ET010006,5,22,2,20,2
ET010006,6,19,2,15,1
ET010006,7,28,1,15,1
ET010006,8,18,2,14,1
ET010006,9,3,2,7,1
ET010007,0,5,2,0,1
ET010007,1,59,1,14,1
ET010007,2,49,2,5,1
ET010007,3,74,1,19,1
ET010007,4,38,1,1,1
ET010007,5,31,1,13,1
ET010007,6,28,1,13,1
ET010007,7,29,1,19,1
ET010007,8,24,2,1,2
ET010007,9,18,2,14,1
ET010007,15,8,1,14,1
ET010007,16,1,2,15,1
ET010007,17,14,2,19,1
ET010007,18,18,2,19,1
ET010008,0,5,2,0,1
ET010008,1,44,2,5,1
ET010008,2,29,2,13,2
ET010008,3,27,2,13,1
ET010008,4,25,1,13,1
ET010008,5,23,2,13,2
ET010008,6,22,2,1,2
ET010008,7,20,2,13,1
ET010008,8,18,1,13,1
ET010008,9,16,1,13,1
ET010009,0,5,1,0,1
ET010009,1,52,1,1,1
ET010009,2,49,2,13,2
ET010009,3,44,2,1,1
ET010009,4,19,1,7,1
ET010009,5,17,2,7,1
ET010009,6,13,2,7,1
ET010009,7,12,2,7,1
ET010010,0,5,2,0,1
ET010010,1,41,1,1,1
