hh_id,indiv_id,age_5y,sex_5y,relate_5y,age_8y,sex_8y,relate_8y,age_12y,sex_12y,relate_12y
PE011001,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011001,1,35,Male,Biological parent,37,Male,Biological parent,42,Male,Biological parent
PE011001,2,26,Female,Biological parent,28,Female,Biological parent,32,Female,Biological parent
PE011001,3,10,Male,Brother/sister,12,Male,Brother/sister,16,Male,Brother/sister
PE011001,4,11,Male,Brother/sister,13,Male,Brother/sister,18,Male,Uncle/Aunt
PE011001,5,0,Female,Brother/sister,2,Female,Brother/sister,6,Female,Brother/sister
PE011001,6,,,,,,,3,Female,Brother/sister
PE011001,7,,,,,,,0,Male,Brother/sister
PE011002,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011002,1,57,Male,Biological parent,60,Male,Biological parent,64,Male,Biological parent
PE011002,2,43,Female,Biological parent,46,Female,Biological parent,49,Female,Biological parent
PE011002,3,,,,,,,,,
PE011002,15,8,Female,Brother/sister,11,Female,Brother/sister,15,Female,Brother/sister
PE011003,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011003,1,29,Male,Biological parent,32,Male,Biological parent,36,Male,Biological parent
PE011003,2,27,Female,Biological parent,30,Female,Biological parent,34,Female,Biological parent
PE011003,3,2,Female,Brother/sister,5,Female,Brother/sister,9,Female,Brother/sister
PE011003,4,,,,,,,3,Male,Brother/sister
PE011004,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011004,1,40,Male,Biological parent,42,Male,Biological parent,46,Male,Biological parent
PE011004,2,40,Female,Biological parent,42,Female,Biological parent,46,Female,Biological parent
PE011004,3,3,Female,Brother/sister,6,Female,Brother/sister,10,Female,Brother/sister
PE011005,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011005,1,42,Male,Biological parent,43,Male,Paternal grandparent,47,Male,Maternal grandparent
PE011005,2,24,Female,Brother/sister,,,,30,Female,Biological parent
PE011005,3,42,Female,Biological parent,44,Female,Maternal grandparent,49,Female,Maternal grandparent
PE011005,4,21,Male,Brother/sister,,,,28,Male,Uncle/Aunt
